tournament_name,match_date,stage_name,stage_code,is_knockout,group_name,home_team_name,away_team_name,home_team_code,away_team_code,home_elo_before,away_elo_before,elo_diff,home_form_gf,home_form_ga,home_form_pts,away_form_gf,away_form_ga,away_form_pts,extra_time,penalty_shootout,home_team_score,away_team_score,total_goals,goal_diff,outcome,home_team_win,away_team_win,draw,home_fifa_rank,away_fifa_rank,fifa_rank_diff,has_fifa_rank
1930 FIFA Men's World Cup,1930-07-13,group stage,0,0,Group 1,France,Mexico,FRA,MEX,1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4,1,5,3,home_win,1,0,0,,,,0
1930 FIFA Men's World Cup,1930-07-13,group stage,0,0,Group 4,United States,Belgium,USA,BEL,1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3,0,3,3,home_win,1,0,0,,,,0
1930 FIFA Men's World Cup,1930-07-14,group stage,0,0,Group 2,Yugoslavia,Brazil,YUG,BRA,1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,1,3,1,home_win,1,0,0,,,,0
1930 FIFA Men's World Cup,1930-07-14,group stage,0,0,Group 3,Romania,Peru,ROU,PER,1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3,1,4,2,home_win,1,0,0,,,,0
1930 FIFA Men's World Cup,1930-07-15,group stage,0,0,Group 1,Argentina,France,ARG,FRA,1500.0,1516.0,-16.0,0.0,0.0,0.0,4.0,1.0,3.0,0,0,1,0,1,1,home_win,1,0,0,,,,0
1930 FIFA Men's World Cup,1930-07-16,group stage,0,0,Group 1,Chile,Mexico,CHL,MEX,1500.0,1484.0,16.0,0.0,0.0,0.0,1.0,4.0,0.0,0,0,3,0,3,3,home_win,1,0,0,,,,0
1930 FIFA Men's World Cup,1930-07-17,group stage,0,0,Group 2,Yugoslavia,Bolivia,YUG,BOL,1516.0,1500.0,16.0,2.0,1.0,3.0,0.0,0.0,0.0,0,0,4,0,4,4,home_win,1,0,0,,,,0
1930 FIFA Men's World Cup,1930-07-17,group stage,0,0,Group 4,United States,Paraguay,USA,PRY,1516.0,1500.0,16.0,3.0,0.0,3.0,0.0,0.0,0.0,0,0,3,0,3,3,home_win,1,0,0,,,,0
1930 FIFA Men's World Cup,1930-07-18,group stage,0,0,Group 3,Uruguay,Peru,URY,PER,1500.0,1484.0,16.0,0.0,0.0,0.0,1.0,3.0,0.0,0,0,1,0,1,1,home_win,1,0,0,,,,0
1930 FIFA Men's World Cup,1930-07-19,group stage,0,0,Group 1,Chile,France,CHL,FRA,1515.26,1499.26,16.0,3.0,0.0,3.0,2.0,1.0,1.5,0,0,1,0,1,1,home_win,1,0,0,,,,0
1930 FIFA Men's World Cup,1930-07-19,group stage,0,0,Group 1,Argentina,Mexico,ARG,MEX,1516.74,1468.74,48.0,1.0,0.0,3.0,0.5,3.5,0.0,0,0,6,3,9,3,home_win,1,0,0,,,,0
1930 FIFA Men's World Cup,1930-07-20,group stage,0,0,Group 2,Brazil,Bolivia,BRA,BOL,1484.0,1484.74,-0.7400000000000091,1.0,2.0,0.0,0.0,4.0,0.0,0,0,4,0,4,4,home_win,1,0,0,,,,0
1930 FIFA Men's World Cup,1930-07-20,group stage,0,0,Group 4,Paraguay,Belgium,PRY,BEL,1484.74,1484.0,0.7400000000000091,0.0,3.0,0.0,0.0,3.0,0.0,0,0,1,0,1,1,home_win,1,0,0,,,,0
1930 FIFA Men's World Cup,1930-07-21,group stage,0,0,Group 3,Uruguay,Romania,URY,ROU,1515.26,1516.0,-0.7400000000000091,1.0,0.0,3.0,3.0,1.0,3.0,0,0,4,0,4,4,home_win,1,0,0,,,,0
1930 FIFA Men's World Cup,1930-07-22,group stage,0,0,Group 1,Argentina,Chile,ARG,CHL,1530.54,1530.52,0.0199999999999818,3.5,1.5,3.0,2.0,0.0,3.0,0,0,3,1,4,2,home_win,1,0,0,,,,0
1930 FIFA Men's World Cup,1930-07-26,semi-finals,3,1,not applicable,Argentina,United States,ARG,USA,1546.54,1531.26,15.279999999999973,3.33,1.33,3.0,3.0,0.0,3.0,0,0,6,1,7,5,home_win,1,0,0,,,,0
1930 FIFA Men's World Cup,1930-07-27,semi-finals,3,1,not applicable,Uruguay,Yugoslavia,URY,YUG,1531.29,1531.26,0.0299999999999727,2.5,0.0,3.0,3.0,0.5,3.0,0,0,6,1,7,5,home_win,1,0,0,,,,0
1930 FIFA Men's World Cup,1930-07-30,final,4,1,not applicable,Uruguay,Argentina,URY,ARG,1547.29,1561.84,-14.549999999999956,3.67,0.33,3.0,4.0,1.25,3.0,0,0,4,2,6,2,home_win,1,0,0,,,,0
1934 FIFA Men's World Cup,1934-05-27,round of 16,1,1,not applicable,Austria,France,AUT,FRA,1500.0,1484.0,16.0,0.0,0.0,0.0,1.33,1.0,1.0,1,0,3,2,5,1,home_win,1,0,0,,,,0
1934 FIFA Men's World Cup,1934-05-27,round of 16,1,1,not applicable,Czechoslovakia,Romania,CSK,ROU,1500.0,1499.97,0.0299999999999727,0.0,0.0,0.0,1.5,2.5,1.5,0,0,2,1,3,1,home_win,1,0,0,,,,0
1934 FIFA Men's World Cup,1934-05-27,round of 16,1,1,not applicable,Germany,Belgium,DEU,BEL,1500.0,1468.03,31.970000000000027,0.0,0.0,0.0,0.0,2.0,0.0,0,0,5,2,7,3,home_win,1,0,0,,,,0
1934 FIFA Men's World Cup,1934-05-27,round of 16,1,1,not applicable,Hungary,Egypt,HUN,EGY,1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4,2,6,2,home_win,1,0,0,,,,0
1934 FIFA Men's World Cup,1934-05-27,round of 16,1,1,not applicable,Italy,United States,ITA,USA,1500.0,1515.96,-15.960000000000036,0.0,0.0,0.0,2.33,2.0,2.0,0,0,7,1,8,6,home_win,1,0,0,,,,0
1934 FIFA Men's World Cup,1934-05-27,round of 16,1,1,not applicable,Spain,Brazil,ESP,BRA,1500.0,1500.03,-0.0299999999999727,0.0,0.0,0.0,2.5,1.0,1.5,0,0,3,1,4,2,home_win,1,0,0,,,,0
1934 FIFA Men's World Cup,1934-05-27,round of 16,1,1,not applicable,Sweden,Argentina,SWE,ARG,1500.0,1545.17,-45.17000000000007,0.0,0.0,0.0,3.6,1.8,2.4,0,0,3,2,5,1,home_win,1,0,0,,,,0
1934 FIFA Men's World Cup,1934-05-27,round of 16,1,1,not applicable,Switzerland,Netherlands,CHE,NLD,1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3,2,5,1,home_win,1,0,0,,,,0
1934 FIFA Men's World Cup,1934-05-31,quarter-finals,2,1,not applicable,Austria,Hungary,AUT,HUN,1515.26,1516.0,-0.7400000000000091,3.0,2.0,3.0,4.0,2.0,3.0,0,0,2,1,3,1,home_win,1,0,0,,,,0
1934 FIFA Men's World Cup,1934-05-31,quarter-finals,2,1,not applicable,Czechoslovakia,Switzerland,CSK,CHE,1516.0,1516.0,0.0,2.0,1.0,3.0,3.0,2.0,3.0,0,0,3,2,5,1,home_win,1,0,0,,,,0
