id,home_team_id,away_team_id,home_score,away_score,finished,group,matchday,type,local_date,home_team,away_team,home_code,away_code,home_elo,away_elo,elo_diff,home_fifa_rank,away_fifa_rank,fifa_rank_diff
1,1,2,0,0,False,A,1,group,06/11/2026 13:00,Mexico,South Africa,MEX,RSA,1457.47,1540.45,-82.98,15,48,-33
2,3,4,0,0,False,A,1,group,06/11/2026 20:00,South Korea,UEFA Path D Winner,KOR,TBD,1550.46,1500.0,50.46,23,70,-47
3,5,6,0,0,False,B,1,group,06/12/2026 15:00,Canada,UEFA Path A Winner,CAN,TBD,1518.99,1500.0,18.99,27,70,-43
4,13,14,0,0,False,D,1,group,06/12/2026 18:00,United States,Paraguay,USA,PAR,1460.27,1483.79,-23.52,11,43,-32
5,11,12,0,0,False,C,1,group,06/13/2026 21:00,Haiti,Scotland,HAI,SCO,1503.78,1496.59,7.19,53,39,14
6,15,16,0,0,False,D,1,group,06/13/2026 12:00,Australia,UEFA Path C Winner,AUS,TBD,1443.32,1500.0,-56.68,25,70,-45
7,9,10,0,0,False,C,1,group,06/13/2026 18:00,Brazil,Morocco,BRA,MAR,1536.12,1400.57,135.55,5,9,-4
8,7,8,0,0,False,B,1,group,06/13/2026 12:00,Qatar,Switzerland,QAT,SUI,1477.97,1509.53,-31.56,42,19,23
9,19,20,0,0,False,E,1,group,06/14/2026 18:00,Ivory Coast,Ecuador,CIV,ECU,1435.99,1489.03,-53.04,70,21,49
10,17,18,0,0,False,E,1,group,06/14/2026 12:00,Germany,Curaçao,GER,CUW,1464.46,1500.0,-35.54,12,70,-58
11,21,22,0,0,False,F,1,group,06/14/2026 15:00,Netherlands,Japan,NED,JPN,1494.29,1411.18,83.11,7,14,-7
12,23,24,0,0,False,F,1,group,06/14/2026 21:00,UEFA Path B Winner,Tunisia,TBD,TUN,1500.0,1618.17,-118.17,70,29,41
13,27,28,0,0,False,G,1,group,06/15/2026 18:00,Iran,New Zealand,IRN,NZL,1559.71,1467.62,92.09,24,59,-35
14,29,30,0,0,False,H,1,group,06/15/2026 12:00,Spain,Cape Verde,ESP,CPV,1477.08,1500.0,-22.92,8,70,-62
15,25,26,0,0,False,G,1,group,06/15/2026 15:00,Belgium,Egypt,BEL,EGY,1405.06,1465.91,-60.85,4,34,-30
16,31,32,0,0,False,H,1,group,06/15/2026 21:00,Saudi Arabia,Uruguay,KSA,URU,1519.78,1512.04,7.74,47,18,29
17,33,34,0,0,False,I,1,group,06/16/2026 15:00,France,Senegal,FRA,SEN,1470.87,1449.12,21.75,2,17,-15
18,35,36,0,0,False,I,1,group,06/16/2026 18:00,IC Path 2 Winner,Norway,TBD,NOR,1500.0,1456.53,43.47,70,70,0
19,37,38,0,0,False,J,1,group,06/16/2026 20:00,Argentina,Algeria,ARG,ALG,1505.94,1445.5,60.44,1,41,-40
20,39,40,0,0,False,J,1,group,06/16/2026 12:00,Austria,Jordan,AUT,JOR,1484.09,1500.0,-15.91,22,70,-48
21,41,42,0,0,False,K,1,group,06/17/2026 12:00,Portugal,IC Path 1 Winner,POR,TBD,1502.72,1500.0,2.72,6,70,-64
22,45,46,0,0,False,L,1,group,06/17/2026 15:00,England,Croatia,ENG,CRO,1572.98,1525.87,47.11,3,13,-10
23,43,44,0,0,False,K,1,group,06/17/2026 18:00,Uzbekistan,Colombia,UZB,COL,1500.0,1509.93,-9.93,70,16,54
24,47,48,0,0,False,L,1,group,06/17/2026 21:00,Ghana,Panama,GHA,PAN,1555.89,1518.06,37.83,46,51,-5
25,1,3,0,0,False,A,2,group,06/18/2026 13:00,Mexico,South Korea,MEX,KOR,1457.47,1550.46,-92.99,15,23,-8
26,8,6,0,0,False,B,2,group,06/18/2026 12:00,Switzerland,UEFA Path A Winner,SUI,TBD,1509.53,1500.0,9.53,19,70,-51
27,5,7,0,0,False,B,2,group,06/18/2026 15:00,Canada,Qatar,CAN,QAT,1518.99,1477.97,41.02,27,42,-15
28,4,2,0,0,False,A,2,group,06/18/2026 18:00,UEFA Path D Winner,South Africa,TBD,RSA,1500.0,1540.45,-40.45,70,48,22
29,9,11,0,0,False,C,2,group,06/19/2026 21:00,Brazil,Haiti,BRA,HAI,1536.12,1503.78,32.34,5,53,-48
30,12,10,0,0,False,C,2,group,06/19/2026 18:00,Scotland,Morocco,SCO,MAR,1496.59,1400.57,96.02,39,9,30
31,13,15,0,0,False,D,2,group,06/19/2026 12:00,United States,Australia,USA,AUS,1460.27,1443.32,16.95,11,25,-14
32,16,14,0,0,False,D,2,group,06/19/2026 15:00,UEFA Path C Winner,Paraguay,TBD,PAR,1500.0,1483.79,16.21,70,43,27
33,17,19,0,0,False,E,2,group,06/20/2026 19:00,Germany,Ivory Coast,GER,CIV,1464.46,1435.99,28.47,12,70,-58
