team_id,team_name,fifa_code,group,current_elo,fifa_rank_2026
24,Tunisia,TUN,F,1618.17,29
45,England,ENG,L,1572.98,3
27,Iran,IRN,G,1559.71,24
47,Ghana,GHA,L,1555.89,46
3,South Korea,KOR,A,1550.46,23
2,South Africa,RSA,A,1540.45,48
9,Brazil,BRA,C,1536.12,5
46,Croatia,CRO,L,1525.87,13
31,Saudi Arabia,KSA,H,1519.78,47
5,Canada,CAN,B,1518.99,27
48,Panama,PAN,L,1518.06,51
32,Uruguay,URU,H,1512.04,18
44,Colombia,COL,K,1509.93,16
8,Switzerland,SUI,B,1509.53,19
37,Argentina,ARG,J,1505.94,1
11,Haiti,HAI,C,1503.78,53
41,Portugal,POR,K,1502.72,6
40,Jordan,JOR,J,1500.0,70
42,IC Path 1 Winner,TBD,K,1500.0,70
35,IC Path 2 Winner,TBD,I,1500.0,70
30,Cape Verde,CPV,H,1500.0,70
18,Curaçao,CUW,E,1500.0,70
23,UEFA Path B Winner,TBD,F,1500.0,70
16,UEFA Path C Winner,TBD,D,1500.0,70
4,UEFA Path D Winner,TBD,A,1500.0,70
6,UEFA Path A Winner,TBD,B,1500.0,70
43,Uzbekistan,UZB,K,1500.0,70
12,Scotland,SCO,C,1496.59,39
21,Netherlands,NED,F,1494.29,7
20,Ecuador,ECU,E,1489.03,21
39,Austria,AUT,J,1484.09,22
14,Paraguay,PAR,D,1483.79,43
7,Qatar,QAT,B,1477.97,42
29,Spain,ESP,H,1477.08,8
33,France,FRA,I,1470.87,2
28,New Zealand,NZL,G,1467.62,59
26,Egypt,EGY,G,1465.91,34
17,Germany,GER,E,1464.46,12
13,United States,USA,D,1460.27,11
1,Mexico,MEX,A,1457.47,15
36,Norway,NOR,I,1456.53,70
34,Senegal,SEN,I,1449.12,17
38,Algeria,ALG,J,1445.5,41
15,Australia,AUS,D,1443.32,25
19,Ivory Coast,CIV,E,1435.99,70
22,Japan,JPN,F,1411.18,14
25,Belgium,BEL,G,1405.06,4
10,Morocco,MAR,C,1400.57,9
